-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2001 through 01/01/2023 
Location: Latitude  24.87   Longitude 67.03 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 53.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE               MERRA-2 Temperature at 2 Meters Range (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS10M_RANGE             MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS50M_RANGE             MERRA-2 Wind Speed at 50 Meters Range (m/s) 
WD50M                   MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UV_INDEX,T2MDEW,T2MWET,TS,T2M_RANGE,QV2M,RH2M,PRECTOTCORR,PS,WS10M_RANGE,WD10M,WS50M_RANGE,WD50M
2001,1,25,4.99,5.04,0.7,335.53,90.35,91.95,1.32,11.87,15.74,20.55,9.98,8.79,64.25,0.0,100.86,1.73,280.56,2.11,281.06
2001,1,26,4.8,4.85,0.67,345.62,87.88,89.45,1.27,10.67,16.34,22.06,10.24,8.42,55.12,0.0,100.76,3.66,217.0,5.0,217.38
2001,1,27,4.97,5.04,0.7,330.96,88.52,90.19,1.25,6.24,13.82,22.12,10.88,6.35,43.0,0.0,100.82,2.98,196.0,4.78,182.06
2001,1,28,4.94,4.98,0.69,338.67,90.91,92.39,1.31,13.79,17.13,21.77,8.73,9.89,68.06,0.0,100.77,2.55,292.88,4.37,293.0
2001,1,29,4.9,4.95,0.68,342.21,91.73,93.27,1.27,8.93,14.51,21.31,9.99,7.63,53.12,0.0,100.78,2.38,304.06,3.32,303.69
2001,1,30,4.94,4.94,0.68,316.15,86.06,86.88,1.12,-3.03,6.51,18.62,11.29,3.3,31.06,0.0,101.0,5.77,311.81,8.74,313.19
2001,1,31,5.39,5.44,0.73,310.8,94.04,95.48,1.19,-3.72,6.07,18.29,12.23,3.17,30.75,0.0,100.97,5.66,164.12,8.67,164.88
2001,2,1,5.53,5.58,0.75,312.95,97.27,98.61,1.26,-1.68,8.3,19.03,12.09,3.66,30.94,0.0,100.94,2.99,192.31,4.11,192.56
2001,2,2,5.47,5.52,0.73,313.01,94.63,95.98,1.18,-2.17,8.22,19.31,12.08,3.6,28.69,0.0,100.94,3.4,163.25,4.41,162.81
2001,2,3,5.31,5.34,0.71,325.53,94.81,96.05,1.2,8.88,13.82,19.87,10.09,7.32,56.94,0.0,100.72,2.36,283.56,2.29,283.88
2001,2,4,5.27,5.36,0.7,334.96,95.22,97.59,1.25,10.73,15.44,21.08,8.9,8.3,59.38,0.0,100.51,1.77,263.69,2.61,263.75
2001,2,5,5.38,5.46,0.71,339.41,98.81,100.97,1.33,13.48,16.88,21.72,8.66,9.7,67.88,0.0,100.64,2.86,272.94,4.16,272.81
2001,2,6,5.27,5.33,0.7,343.1,96.93,98.56,1.3,13.72,17.12,22.08,9.71,9.95,69.12,0.0,100.86,4.06,248.62,5.38,249.19
2001,2,7,5.32,5.35,0.7,341.85,98.05,99.16,1.43,14.19,17.58,22.07,8.96,10.19,69.31,0.0,100.95,1.87,291.62,1.84,292.69
2001,2,8,5.3,5.31,0.69,341.38,95.37,96.35,1.37,12.05,16.87,22.74,11.55,9.16,62.31,0.0,100.99,2.62,214.69,4.02,214.06
2001,2,9,5.25,5.27,0.68,340.77,94.53,95.68,1.38,9.98,15.97,22.68,10.68,8.12,53.56,0.0,100.87,2.86,291.31,4.53,291.69
2001,2,10,5.44,5.51,0.7,332.25,96.98,98.99,1.55,2.16,11.9,22.54,11.81,5.0,33.19,0.0,100.73,3.7,188.69,6.07,188.75
2001,2,11,5.44,5.46,0.7,335.46,98.16,99.3,1.42,6.73,14.44,22.73,11.99,6.65,43.69,0.0,100.54,3.26,229.94,5.18,230.81
2001,2,12,4.81,5.26,0.61,366.8,88.28,96.4,1.23,8.58,15.62,22.91,11.46,8.12,50.75,0.01,100.56,5.09,168.81,5.49,169.56
2001,2,13,5.12,5.16,0.65,359.91,94.8,96.11,1.24,15.16,18.3,22.88,6.55,10.86,69.38,0.13,100.48,5.92,230.94,6.56,231.06
2001,2,14,5.41,5.43,0.68,333.41,96.21,97.36,1.16,4.89,13.06,22.37,10.55,5.8,39.38,0.0,100.62,3.25,163.94,4.48,164.56
2001,2,15,5.45,5.49,0.68,340.85,98.88,100.41,1.39,8.82,15.28,22.54,8.5,7.32,48.06,0.0,100.93,3.75,216.69,5.62,215.19
2001,2,16,5.34,5.42,0.66,342.65,95.45,97.28,1.32,8.93,15.37,23.32,10.82,7.45,49.25,0.0,100.98,4.47,266.75,6.48,266.06
2001,2,17,5.42,5.46,0.67,356.44,100.09,101.46,1.43,13.01,17.62,23.69,10.41,9.58,60.94,0.0,100.88,3.29,282.88,5.08,284.06
2001,2,18,5.19,5.29,0.64,350.48,93.6,95.75,1.37,13.21,17.91,23.93,10.95,9.89,62.75,0.0,100.91,3.27,294.44,5.23,297.44
2001,2,19,5.31,5.37,0.65,358.52,96.86,98.59,1.52,15.01,18.81,23.95,10.5,10.99,68.25,0.0,100.9,5.41,226.38,6.01,227.31
2001,2,20,5.6,5.66,0.68,362.34,105.04,106.81,1.7,17.98,20.47,23.94,9.26,13.0,77.56,0.0,100.71,2.58,271.94,1.94,273.06
2001,2,21,5.71,5.73,0.69,352.36,104.7,105.87,1.66,12.61,17.93,24.08,13.33,9.77,60.25,0.0,100.52,3.34,193.69,5.12,194.06
2001,2,22,5.75,5.78,0.69,358.39,107.91,109.1,1.72,19.16,21.12,24.27,8.42,13.98,80.94,0.0,100.54,2.28,259.06,2.72,259.56
2001,2,23,5.77,5.84,0.69,358.04,107.32,109.18,1.7,19.01,21.05,24.42,7.2,13.79,80.0,0.0,100.62,2.26,260.88,1.91,261.44
2001,2,24,5.13,5.61,0.61,376.46,96.16,105.23,1.59,19.54,21.53,24.78,5.93,14.22,79.56,0.0,100.52,2.29,262.38,2.21,263.12
2001,2,25,5.31,5.38,0.62,373.54,97.76,99.48,1.55,12.17,18.4,25.15,11.24,9.95,56.81,0.0,100.35,6.45,234.44,8.51,235.44
2001,2,26,5.88,5.99,0.69,344.7,103.85,106.21,1.64,6.84,14.69,23.13,11.68,7.08,45.19,0.0,100.48,3.66,161.19,4.62,162.06
2001,2,27,5.95,5.99,0.7,344.57,107.04,108.3,1.68,9.98,15.96,22.91,11.2,8.18,54.31,0.0,100.66,2.38,291.56,3.24,292.62
2001,2,28,5.72,5.78,0.66,344.54,100.91,102.34,1.52,6.51,14.9,23.54,13.4,7.14,46.25,0.0,101.0,2.66,167.94,3.59,153.44
2001,3,1,6.07,6.14,0.7,331.45,106.16,107.8,1.59,1.29,12.37,23.28,13.07,4.76,27.94,0.0,101.23,4.08,106.19,5.14,107.0
2001,3,2,6.03,6.11,0.7,335.34,105.89,107.59,1.47,2.98,13.54,24.15,11.52,5.37,30.81,0.0,101.18,3.32,150.94,4.57,136.44
2001,3,3,5.35,5.93,0.61,349.09,94.58,104.05,1.24,7.11,15.09,23.83,11.78,6.9,43.0,0.0,101.01,3.08,176.69,5.04,178.25
2001,3,4,6.15,6.21,0.7,338.73,108.52,109.85,1.48,10.05,16.58,24.13,12.16,8.36,52.88,0.0,101.0,3.6,229.38,5.84,230.0
2001,3,5,6.4,6.46,0.72,335.97,113.52,114.95,1.74,10.95,16.83,23.76,12.23,8.97,57.62,0.0,100.88,4.58,234.56,5.45,234.5
2001,3,6,6.2,6.38,0.7,343.15,112.95,116.41,1.78,17.97,19.94,22.28,6.85,12.94,80.75,0.0,100.73,2.12,259.19,1.96,259.75
2001,3,7,6.38,6.42,0.71,350.02,118.12,119.35,1.87,17.67,20.65,24.79,9.71,12.88,74.25,0.0,100.66,2.37,257.19,1.66,258.31
2001,3,8,6.35,6.41,0.7,354.99,117.16,118.48,1.83,16.26,20.3,25.79,11.52,11.96,68.06,0.0,100.65,2.35,282.81,4.12,284.19
2001,3,9,5.84,6.46,0.65,364.99,108.41,119.27,1.77,15.12,19.64,25.5,10.99,11.23,64.62,0.0,100.62,1.8,286.94,3.05,288.44
2001,3,10,6.4,6.51,0.7,352.04,116.77,119.02,1.88,14.26,19.36,25.76,12.27,10.68,61.5,0.0,100.63,2.3,284.62,3.7,285.75
2001,3,11,6.33,6.38,0.7,350.56,114.3,115.48,1.69,12.61,18.82,26.04,12.76,10.13,57.31,0.0,100.61,2.07,290.25,4.18,290.81
2001,3,12,6.41,6.5,0.7,352.95,118.55,120.43,1.75,16.37,20.37,25.62,11.04,12.27,68.94,0.0,100.49,2.44,275.38,2.34,276.25
2001,3,13,6.22,6.32,0.67,376.09,117.17,119.3,1.81,17.51,21.02,25.89,9.23,12.76,69.62,0.0,100.46,4.19,220.75,4.54,221.06
2001,3,14,6.44,6.52,0.7,373.49,121.55,123.42,2.03,13.58,19.3,26.64,10.11,10.13,55.06,0.0,100.51,2.18,229.81,3.59,230.62
2001,3,15,6.26,6.45,0.67,368.36,117.05,120.63,1.86,12.8,19.19,26.44,10.76,10.01,53.5,0.0,100.73,2.28,201.88,3.38,201.19
2001,3,16,6.48,6.54,0.7,367.77,120.02,121.41,1.91,15.39,20.42,26.97,11.55,11.6,62.31,0.0,100.72,4.66,270.25,5.85,269.19
2001,3,17,6.46,6.53,0.69,366.64,120.22,121.68,1.95,16.78,20.73,25.88,8.83,12.45,67.81,0.0,100.51,3.04,258.94,4.05,259.06
2001,3,18,6.5,6.67,0.69,380.55,122.13,125.5,1.99,18.74,21.83,26.42,9.33,13.73,72.31,0.0,100.48,3.33,260.19,3.12,260.88
2001,3,19,6.07,6.26,0.64,394.02,116.13,119.93,1.88,21.11,23.36,26.9,6.84,15.75,78.38,0.0,100.39,3.84,241.5,3.7,242.25
2001,3,20,6.24,6.34,0.66,394.52,116.96,119.05,1.86,17.15,21.93,27.83,11.37,12.82,63.5,0.0,100.34,4.41,181.69,5.88,182.81
2001,3,21,5.82,6.39,0.61,388.17,110.11,120.34,1.85,16.81,20.94,26.29,8.47,12.63,67.06,0.01,100.19,3.93,272.75,4.23,274.0
2001,3,22,6.54,6.67,0.68,379.02,123.12,125.63,2.02,17.14,21.53,27.37,9.71,12.94,66.56,0.03,100.12,2.97,263.06,3.93,264.44
2001,3,23,6.59,6.67,0.68,379.89,123.42,125.12,2.05,18.34,22.2,27.62,9.72,13.73,69.12,0.0,100.27,2.54,262.25,4.31,263.0
2001,3,24,6.64,6.68,0.69,377.87,125.32,126.45,2.03,18.74,22.34,27.25,8.48,13.85,68.94,0.0,100.26,3.35,268.81,3.62,269.56
2001,3,25,6.76,6.8,0.7,385.38,127.66,128.74,2.2,18.96,22.58,27.44,7.88,14.04,68.38,0.0,100.24,3.29,268.81,2.9,269.81
2001,3,26,6.58,6.68,0.67,395.37,126.55,128.66,2.2,21.74,23.87,27.21,6.78,16.42,79.12,0.05,100.18,3.12,261.44,2.7,262.44
2001,3,27,6.09,6.63,0.62,396.73,117.12,126.61,2.05,18.15,22.1,27.05,6.12,13.43,65.38,0.05,100.05,4.41,255.5,5.28,255.94
2001,3,28,6.57,6.76,0.66,371.59,121.68,125.27,1.98,12.32,19.23,27.26,7.49,9.52,46.56,0.0,99.97,4.69,272.94,6.51,274.31
2001,3,29,6.63,6.81,0.67,360.75,121.24,124.22,1.86,10.05,17.58,25.98,8.66,8.48,44.56,0.0,99.99,4.17,279.5,3.48,281.0
2001,3,30,6.85,6.97,0.7,354.09,124.22,126.32,2.01,7.98,16.44,26.44,12.88,7.57,40.81,0.0,100.3,5.18,218.94,6.8,220.06
2001,3,31,6.5,6.74,0.66,381.38,120.69,124.86,1.97,18.97,21.65,25.73,8.91,13.98,76.31,0.0,100.59,2.4,247.38,2.8,248.0
2001,4,1,6.77,6.9,0.68,374.89,125.06,127.39,1.94,18.17,21.8,27.07,11.34,13.49,70.94,0.0,100.62,2.3,258.12,3.23,259.75
2001,4,2,7.08,7.16,0.7,365.96,129.35,130.71,2.03,17.69,21.69,27.13,11.73,13.37,70.06,0.0,100.33,3.16,257.62,3.66,258.62
2001,4,3,6.87,6.97,0.68,372.12,125.51,127.43,1.97,18.06,22.29,27.98,12.13,13.73,68.56,0.0,100.21,3.95,242.69,5.3,244.69
2001,4,4,6.65,6.78,0.66,378.81,120.72,123.06,-999.0,11.84,20.19,28.54,15.45,10.07,48.56,0.0,100.39,2.7,183.0,3.28,184.56
2001,4,5,6.66,6.75,0.66,368.76,117.34,118.8,1.73,8.45,18.65,29.34,13.49,7.93,35.44,0.0,100.43,4.15,198.0,5.88,185.25
2001,4,6,6.98,7.06,0.69,365.41,125.49,126.84,1.92,17.17,22.26,28.62,12.42,13.31,64.0,0.0,100.44,3.41,267.06,4.11,268.31
2001,4,7,7.33,7.41,0.72,364.32,132.55,133.79,2.05,17.07,22.03,28.3,12.49,13.12,65.19,0.0,100.61,3.47,272.88,4.1,273.75
2001,4,8,7.44,7.52,0.73,359.33,135.87,137.02,2.27,19.52,22.88,27.32,10.4,14.59,71.5,0.0,100.24,5.89,253.0,5.96,254.25
2001,4,9,7.38,7.47,0.72,364.94,135.55,136.77,2.28,20.26,23.42,27.49,9.4,15.32,73.19,0.0,99.92,5.09,250.25,4.33,251.31
2001,4,10,7.07,7.36,0.69,388.29,133.68,138.31,2.29,21.71,24.4,28.1,9.24,16.6,76.38,0.0,100.09,4.35,250.88,3.88,251.88
2001,4,11,6.52,7.04,0.63,403.06,124.72,133.55,2.01,21.69,24.47,28.01,7.93,16.54,75.62,0.14,100.29,5.26,251.31,4.95,252.25
2001,4,12,6.72,6.9,0.65,397.15,127.74,130.46,2.0,20.65,23.89,28.65,9.27,15.69,73.19,0.65,100.18,3.15,256.56,2.5,257.44
2001,4,13,7.19,7.29,0.7,390.18,136.45,137.91,2.28,20.72,23.62,28.43,8.88,15.62,74.81,0.01,100.17,3.24,256.94,2.7,257.31
2001,4,14,7.0,7.24,0.67,392.16,133.43,137.34,2.26,19.91,23.19,28.59,8.62,14.77,71.62,0.03,100.5,3.42,254.19,3.72,254.0
2001,4,15,7.21,7.36,0.69,384.83,136.77,139.04,2.46,19.44,22.76,28.55,9.34,14.47,71.94,0.0,100.65,5.02,263.0,5.46,263.56
2001,4,16,7.28,7.37,0.7,388.95,139.3,140.64,2.46,20.62,23.59,28.67,8.07,15.32,72.38,0.0,100.4,2.62,257.25,2.47,258.44
2001,4,17,7.12,7.22,0.68,388.83,135.5,137.05,2.36,20.93,24.01,29.03,7.93,15.62,71.56,0.01,100.24,3.52,255.75,3.21,256.62
2001,4,18,7.06,7.25,0.67,394.86,135.52,138.43,2.37,20.93,23.67,28.44,6.99,15.62,73.94,0.27,100.21,4.19,237.31,3.92,237.31
2001,4,19,7.2,7.38,0.68,394.62,136.91,139.59,2.39,20.08,23.7,29.47,6.97,14.83,66.56,0.31,100.25,2.41,260.31,3.4,261.44
2001,4,20,6.85,7.01,0.65,402.38,130.43,132.82,2.17,20.45,24.14,30.05,9.27,15.2,67.69,0.0,100.32,2.59,270.06,3.52,271.5
2001,4,21,7.06,7.17,0.66,392.3,132.88,134.34,2.3,20.55,24.19,29.98,10.05,15.5,69.75,0.0,100.28,3.03,275.38,3.9,276.19
2001,4,22,7.46,7.57,0.7,385.79,139.82,141.2,2.46,20.05,23.76,29.65,10.34,15.2,70.12,0.0,100.24,2.66,267.25,2.85,267.75
2001,4,23,7.55,7.68,0.71,382.8,141.94,143.55,2.62,21.0,24.21,29.45,9.57,15.81,71.38,0.0,100.15,2.43,257.62,2.62,258.44
2001,4,24,7.53,7.71,0.7,392.22,142.16,144.62,2.62,22.47,25.44,29.98,8.98,17.21,72.69,0.0,100.13,3.3,255.19,2.12,256.31
2001,4,25,7.48,7.61,0.7,392.8,140.4,142.08,2.55,22.48,25.92,31.05,9.2,17.4,70.56,0.0,100.02,2.6,249.12,3.33,250.19
2001,4,26,7.42,7.71,0.7,387.7,138.71,142.79,2.41,21.47,25.08,29.76,8.45,16.54,69.69,0.0,99.97,3.31,251.94,2.27,252.88
2001,4,27,7.54,7.67,0.7,388.95,142.03,143.53,2.55,22.03,25.09,30.04,8.09,16.78,72.19,0.0,100.01,2.66,252.38,1.3,252.94
2001,4,28,6.89,7.22,0.64,408.89,132.68,137.46,2.33,23.61,25.84,29.85,5.79,18.37,77.69,0.0,99.83,3.26,254.69,2.52,255.31
2001,4,29,7.13,7.34,0.66,409.12,137.5,140.23,2.4,24.21,26.37,30.15,6.21,19.1,78.88,0.0,99.75,3.73,251.94,3.27,252.75
2001,4,30,7.09,7.43,0.66,411.46,135.75,140.7,2.34,24.63,26.68,30.2,6.54,19.59,80.44,0.0,99.96,2.73,248.94,2.12,249.75
2001,5,1,7.35,7.56,0.68,407.5,141.45,144.17,2.51,24.26,26.67,30.72,7.68,19.23,78.06,0.0,99.98,2.8,246.38,2.2,247.31
2001,5,2,7.77,7.88,0.72,397.6,147.12,148.05,2.73,23.34,26.3,30.76,8.91,18.43,74.94,0.0,99.77,3.73,250.81,3.03,251.75
2001,5,3,7.18,7.34,0.66,409.94,138.17,140.2,2.42,23.86,27.17,32.32,11.58,19.1,73.31,0.0,99.54,3.4,243.81,3.95,245.81
2001,5,4,7.32,7.45,0.67,407.89,139.1,140.45,2.38,23.28,26.96,31.94,10.66,18.62,70.81,0.0,99.66,5.17,253.38,4.96,254.69
2001,5,5,7.24,7.38,0.66,408.48,136.91,138.45,2.3,24.61,27.21,31.4,8.3,19.71,76.62,0.0,99.74,3.52,248.31,3.18,249.44
2001,5,6,7.36,7.48,0.67,405.49,139.65,140.8,2.45,24.65,27.23,31.21,7.53,19.84,76.81,0.0,99.61,5.39,240.38,5.15,241.38
2001,5,7,7.16,7.26,0.66,411.02,136.77,137.73,2.31,24.96,27.23,30.95,6.27,20.08,78.56,0.0,99.64,4.87,241.19,4.62,242.06
2001,5,8,7.04,7.5,0.64,422.15,137.58,144.66,2.52,25.13,27.18,30.54,5.03,20.2,79.75,0.0,99.77,1.64,248.94,1.09,249.62
2001,5,9,7.03,7.47,0.64,417.22,135.88,142.74,2.42,24.55,26.83,30.4,5.7,19.53,77.88,0.0,99.8,2.73,250.0,2.29,250.81
2001,5,10,7.11,7.43,0.65,414.66,136.32,140.95,2.41,24.26,26.67,30.77,6.27,19.17,76.69,0.0,99.86,3.32,255.0,2.75,255.69
2001,5,11,7.21,7.43,0.66,412.09,138.65,141.51,2.41,24.33,26.7,30.69,6.28,19.23,77.06,0.0,99.86,3.25,245.19,2.88,245.94
2001,5,12,6.83,7.43,0.62,422.86,133.23,142.52,2.32,24.65,26.87,30.76,5.95,19.59,78.25,0.0,99.78,3.78,236.62,3.66,237.31
2001,5,13,6.52,7.28,0.59,428.13,127.54,139.67,2.17,24.46,26.83,31.16,5.96,19.41,76.62,0.0,99.62,2.45,229.62,1.85,230.25
2001,5,14,5.92,7.1,0.54,438.95,116.54,136.41,2.02,24.32,26.8,31.21,5.7,19.23,75.5,0.0,99.56,1.95,228.12,1.66,228.56
2001,5,15,5.77,6.81,0.52,445.4,112.98,130.58,1.84,24.83,27.13,31.45,5.99,19.84,77.25,0.0,99.64,1.59,226.06,1.41,226.62
2001,5,16,6.23,7.1,0.56,433.42,122.01,135.9,1.95,24.14,26.63,31.08,5.24,18.98,75.31,0.0,99.83,1.81,232.5,1.38,232.94
2001,5,17,6.48,7.31,0.59,427.02,126.88,140.09,2.09,24.09,26.57,30.94,5.07,18.92,75.44,0.0,99.76,1.97,235.62,2.22,236.06
2001,5,18,6.17,7.28,0.56,437.38,122.39,140.48,2.16,23.74,26.46,31.04,5.19,18.55,73.19,0.0,99.74,1.33,234.5,2.17,234.81
2001,5,19,6.05,7.02,0.55,437.49,118.8,135.6,1.95,23.7,26.23,30.57,4.83,18.49,74.88,0.0,99.77,2.63,246.56,2.32,247.0
2001,5,20,5.74,6.37,0.52,436.95,112.34,122.09,1.7,24.08,26.22,30.12,4.55,18.92,78.31,0.0,99.64,1.77,246.06,1.63,246.94
