-BEGIN HEADER-,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data ,,,,,,,,
Dates (month/day/year): 01/01/2020 through 12/01/2020 ,,,,,,,,
Location: Latitude  24.87   Longitude 67.03 ,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 53.05 meters,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,
Parameter(s): ,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) ,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,
PS                    MERRA-2 Surface Pressure (kPa) ,,,,,,,,
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M
2020,1,1,4,0,11.62,57.19,101.14,5.86
2020,1,1,5,0,11.34,58.19,101.22,6.2
2020,1,1,6,21.08,11.29,58.25,101.31,6.62
2020,1,1,7,149.95,12.38,53.56,101.38,7.18
2020,1,1,8,305.72,14.26,45.81,101.45,7.86
2020,1,1,9,464.09,16.18,39,101.45,8.2
2020,1,1,10,543.84,17.73,34.5,101.37,7.76
2020,1,1,11,585.17,18.98,31.19,101.25,7.12
2020,1,1,12,543.56,19.82,28.94,101.15,6.49
2020,1,1,13,449.48,20.23,27.5,101.09,5.93
2020,1,1,14,317.55,20.19,27.25,101.07,5.63
2020,1,1,15,155.17,19.46,29.81,101.09,5.24
2020,1,1,16,29.82,17.18,38.69,101.15,4.68
2020,1,1,17,0,15.66,43.38,101.25,5.11
2020,1,1,18,0,14.94,45.81,101.36,5.44
2020,1,1,19,0,14.3,47.94,101.42,5.53
2020,1,1,20,0,13.83,49.5,101.46,5.46
2020,1,1,21,0,13.51,50.38,101.47,5.39
2020,1,1,22,0,13.3,50.94,101.46,5.37
2020,1,1,23,0,13.03,51.62,101.43,5.38
2020,1,2,0,0,12.73,52.69,101.41,5.4
2020,1,2,1,0,12.35,53.81,101.38,5.52
2020,1,2,2,0,12.02,54.94,101.36,5.72
2020,1,2,3,0,11.76,55.94,101.37,5.86
2020,1,2,4,0,11.55,56.75,101.41,5.9
2020,1,2,5,0,11.41,57.31,101.49,5.96
2020,1,2,6,20.05,11.55,56.75,101.58,6.15
2020,1,2,7,136.61,13,51.06,101.63,6.59
2020,1,2,8,283.48,15.09,43.75,101.67,6.86
2020,1,2,9,451.95,17.31,38.12,101.66,6.75
2020,1,2,10,516.01,19.07,35.69,101.55,5.81
2020,1,2,11,495.07,20.24,33.69,101.4,4.86
2020,1,2,12,466.66,21.01,31.56,101.29,4
2020,1,2,13,388.77,21.42,30,101.24,3.34
2020,1,2,14,264.35,21.38,29.38,101.23,2.92
2020,1,2,15,122.11,20.87,31.31,101.27,2.81
2020,1,2,16,25.07,18.8,41.25,101.34,2.7
2020,1,2,17,0,17.53,45.19,101.45,3.46
2020,1,2,18,0,16.96,47.19,101.53,4.12
2020,1,2,19,0,16.47,48.06,101.58,4.59
2020,1,2,20,0,15.94,48.94,101.61,4.69
2020,1,2,21,0,15.3,50.56,101.59,4.56
2020,1,2,22,0,14.73,52.56,101.55,4.3
2020,1,2,23,0,14.24,54.5,101.5,3.98
2020,1,3,0,0,13.76,56.31,101.46,3.71
2020,1,3,1,0,13.43,57.75,101.43,3.53
2020,1,3,2,0,13.07,59.5,101.41,3.47
2020,1,3,3,0,12.73,61.56,101.43,3.5
2020,1,3,4,0,12.51,63.44,101.49,3.59
2020,1,3,5,0,12.35,65.12,101.57,3.69
2020,1,3,6,19.46,12.51,65.44,101.65,3.71
2020,1,3,7,128.51,14.36,58.69,101.69,4.38
2020,1,3,8,284.45,16.58,49.56,101.72,4.29
2020,1,3,9,434.48,18.81,42.81,101.68,3.88
2020,1,3,10,538.73,20.4,38.31,101.58,3.18
2020,1,3,11,500.24,21.57,35,101.43,2.46
2020,1,3,12,466.84,22.36,33.5,101.27,1.79
2020,1,3,13,386.06,22.8,33.19,101.18,1.51
2020,1,3,14,347.62,22.81,34.56,101.14,1.76
2020,1,3,15,126.97,22.3,38.12,101.14,2
2020,1,3,16,24.84,20.59,47.56,101.17,2.08
2020,1,3,17,0,19.76,48.88,101.25,2.13
2020,1,3,18,0,19.51,49.31,101.31,1.88
2020,1,3,19,0,19.3,50.38,101.34,1.54
2020,1,3,20,0,19,52,101.35,1.2
2020,1,3,21,0,18.69,53.75,101.35,1
2020,1,3,22,0,18.33,55.81,101.32,1.08
2020,1,3,23,0,17.86,58.94,101.28,1.36
2020,1,4,0,0,17.44,62.38,101.25,1.63
2020,1,4,1,0,17.13,66,101.21,1.89
2020,1,4,2,0,16.91,69.94,101.17,2.16
2020,1,4,3,0,16.83,73.44,101.15,2.31
2020,1,4,4,0,16.88,75.81,101.16,2.25
2020,1,4,5,0,16.98,77.44,101.21,2.1
2020,1,4,6,19.48,17.11,78.31,101.26,1.95
2020,1,4,7,136.5,18.33,74.38,101.31,1.56
2020,1,4,8,312.31,20.33,68,101.37,1.79
2020,1,4,9,458.21,21.9,63.12,101.37,2.24
2020,1,4,10,559.09,22.98,58.5,101.29,2.23
2020,1,4,11,635.91,23.73,55.19,101.15,2.13
2020,1,4,12,605.21,24.11,54.12,101.01,2.34
2020,1,4,13,511.91,24.14,54.31,100.93,2.83
2020,1,4,14,420.04,23.83,55.81,100.9,3.12
2020,1,4,15,196.33,23.17,58.88,100.92,3.3
2020,1,4,16,33.95,21.4,68.88,100.97,2.95
2020,1,4,17,0,20.05,77.88,101.06,3.16
2020,1,4,18,0,19.55,83.12,101.11,3.1
2020,1,4,19,0,19.15,86.44,101.13,2.92
2020,1,4,20,0,18.94,87.94,101.16,2.62
2020,1,4,21,0,18.9,88.25,101.15,2.32
2020,1,4,22,0,18.91,88.12,101.11,2
2020,1,4,23,0,18.86,88.38,101.06,1.72
2020,1,5,0,0,18.7,89.06,101.03,1.49
2020,1,5,1,0,18.58,89.5,100.99,1.12
2020,1,5,2,0,18.3,90.75,100.94,0.96
2020,1,5,3,0,17.94,92.56,100.94,1.13
2020,1,5,4,0,17.7,93.44,100.97,1.27
2020,1,5,5,0,17.36,95.31,101.03,1.6
2020,1,5,6,21.55,17.12,96.62,101.09,2.01
2020,1,5,7,147.96,18.77,86.94,101.15,2.35
2020,1,5,8,323.81,20.67,74.81,101.23,1.7
2020,1,5,9,475.63,22.37,62.06,101.22,1.28
2020,1,5,10,580.06,23.55,54.06,101.11,1.79
2020,1,5,11,609.88,24.27,51,100.96,2.2
2020,1,5,12,607.78,24.7,48.69,100.86,2.42
2020,1,5,13,520.38,24.74,48.38,100.78,2.83
2020,1,5,14,375.3,24.39,49.81,100.75,3.14
2020,1,5,15,203.07,23.68,53.06,100.79,3.33
2020,1,5,16,35.88,21.8,63.44,100.87,2.91
2020,1,5,17,0,20.44,72.31,100.95,2.95
2020,1,5,18,0,19.95,77.75,101,2.72
2020,1,5,19,0,19.58,81.5,101.03,2.52
2020,1,5,20,0,19.33,83.12,101.06,2.32
2020,1,5,21,0,19.16,84.12,101.08,2.2
2020,1,5,22,0,19.02,84.94,101.07,2.05
2020,1,5,23,0,18.85,85.94,101.03,1.84
2020,1,6,0,0,18.56,87.56,100.97,1.75
2020,1,6,1,0,18.12,90.31,100.91,1.85
2020,1,6,2,0,17.58,93.75,100.86,2.2
2020,1,6,3,0,17.26,94.06,100.83,2.49
2020,1,6,4,0,17.23,89.94,100.86,2.67
2020,1,6,5,0,17.03,83.75,100.94,2.79
2020,1,6,6,23.04,16.69,77.44,101.02,3.05
2020,1,6,7,163.27,18.12,64.88,101.1,3.79
2020,1,6,8,339.96,19.87,54.88,101.17,3.24
2020,1,6,9,472.95,22.26,47.56,101.21,2.14
2020,1,6,10,578.12,23.76,43.06,101.14,1.35
2020,1,6,11,574.53,24.57,39.5,101.02,1.11
2020,1,6,12,547.3,25.06,36.5,100.9,1.12
2020,1,6,13,478.3,25.22,35.25,100.82,1.33
2020,1,6,14,328.35,25.05,35.25,100.78,1.43
2020,1,6,15,176.95,24.52,37,100.79,1.4
2020,1,6,16,33.91,23.23,42.69,100.83,1.2
2020,1,6,17,0,22.62,42.56,100.9,0.97
2020,1,6,18,0,22.14,45.19,100.98,0.66
2020,1,6,19,0,21.51,47.94,101.03,1.02
2020,1,6,20,0,20.78,52.06,101.06,1.32
2020,1,6,21,0,20.05,55.81,101.06,1.47
2020,1,6,22,0,19.28,59.94,101.05,1.66
2020,1,6,23,0,18.55,63.62,101.02,1.96
2020,1,7,0,0,17.91,66.75,101.01,2.39
2020,1,7,1,0,17.37,68.88,100.99,2.99
2020,1,7,2,0,17.08,69.38,100.95,3.68
2020,1,7,3,0,16.88,68.88,100.94,4.89
2020,1,7,4,0,16.21,70.69,100.99,5.71
2020,1,7,5,0,15.4,73.31,101.06,6.18
2020,1,7,6,21.98,14.79,74.81,101.14,6.52
2020,1,7,7,131.06,15.49,70,101.2,6.99
2020,1,7,8,216.8,17.12,61.62,101.26,7.08
2020,1,7,9,312.91,18.99,53.81,101.27,6.91
2020,1,7,10,370.35,20.61,47.88,101.2,5.99
2020,1,7,11,319.58,21.4,45.12,101.1,4.9
2020,1,7,12,358.91,21.54,44.88,101.02,4.25
2020,1,7,13,365.62,21.58,45.31,100.95,3.91
2020,1,7,14,242.35,21.54,46,100.91,3.73
2020,1,7,15,147.02,21.24,47.38,100.91,3.47
2020,1,7,16,30.44,19.83,54.06,100.95,2.58
2020,1,7,17,0,18.58,58.56,101.02,2.71
2020,1,7,18,0,17.99,61.19,101.09,2.8
2020,1,7,19,0,17.37,63.81,101.14,2.62
2020,1,7,20,0,16.8,66.5,101.16,2.3
2020,1,7,21,0,16.32,69.88,101.16,2.14
2020,1,7,22,0,15.9,73.38,101.13,2.32
2020,1,7,23,0,15.51,76.31,101.07,2.75
2020,1,8,0,0,15.1,77.88,101.03,3.31
2020,1,8,1,0,14.68,77.94,100.98,3.89
2020,1,8,2,0,14.23,76.88,100.94,4.35
2020,1,8,3,0,13.72,75.81,100.92,4.63
2020,1,8,4,0,13.27,74.31,100.98,4.79
2020,1,8,5,0,12.87,72.38,101.07,4.79
2020,1,8,6,25.25,12.91,68.19,101.15,4.5
2020,1,8,7,191.09,15.09,55.38,101.23,4.42
2020,1,8,8,401.33,17.4,40.06,101.3,3.84
2020,1,8,9,601.3,19.3,31.19,101.3,2.59
2020,1,8,10,700.15,20.28,26.81,101.2,1.11
2020,1,8,11,719.56,21.06,23.94,101.06,0.28
2020,1,8,12,700,21.66,23.25,100.96,0.93
2020,1,8,13,607.97,21.94,23.38,100.89,1.31
2020,1,8,14,451.99,21.89,23.5,100.87,1.36
2020,1,8,15,251.73,21.48,24.5,100.9,1.35
2020,1,8,16,52.06,20.03,31.81,100.95,1.26
2020,1,8,17,0,19.18,31.44,101.04,0.98
2020,1,8,18,0,18.79,30.88,101.13,0.28
2020,1,8,19,0,17.98,30.94,101.19,0.8
2020,1,8,20,0,16.92,32.38,101.21,1.63
2020,1,8,21,0,15.9,34.62,101.21,2.27
2020,1,8,22,0,14.98,37.25,101.18,2.74
2020,1,8,23,0,14.2,39.38,101.14,3.11
2020,1,9,0,0,13.56,40.94,101.13,3.33
2020,1,9,1,0,13.02,42.44,101.11,3.48
2020,1,9,2,0,12.53,43.81,101.1,3.57
2020,1,9,3,0,12.12,44.88,101.12,3.6
2020,1,9,4,0,11.8,45.75,101.19,3.59
2020,1,9,5,0,11.51,46.69,101.29,3.61
2020,1,9,6,28.4,11.62,46.69,101.39,3.5
2020,1,9,7,209.67,14.16,41.06,101.45,3.81
2020,1,9,8,426.14,16.43,32.62,101.51,3.73
2020,1,9,9,599.25,19,25.12,101.54,3.64
2020,1,9,10,708.93,20.4,21.81,101.48,3.54
2020,1,9,11,763.73,21.32,19.62,101.35,3.54
2020,1,9,12,742.1,21.91,18.19,101.24,3.55
2020,1,9,13,656.16,22.24,17.62,101.15,3.63
2020,1,9,14,492.06,22.22,17.44,101.12,3.51
2020,1,9,15,284.98,21.68,18.44,101.15,2.84
2020,1,9,16,64.7,19.49,25.25,101.21,1.94
2020,1,9,17,0,18.71,23.75,101.29,1.66
2020,1,9,18,0,18.08,24.12,101.36,1.74
2020,1,9,19,0,17.11,26.31,101.39,2.31
2020,1,9,20,0,16.06,30.25,101.39,3.14
2020,1,9,21,0,15.24,34.25,101.36,3.91
2020,1,9,22,0,14.56,37.69,101.3,4.6
2020,1,9,23,0,13.97,40.12,101.24,4.95
2020,1,10,0,0,13.36,42.06,101.22,4.94
2020,1,10,1,0,12.78,43.75,101.2,4.85
2020,1,10,2,0,12.3,44.75,101.24,4.6
2020,1,10,3,0,11.97,45.81,101.26,4.74
2020,1,10,4,0,11.76,46.81,101.26,4.97
2020,1,10,5,0,11.62,48,101.33,5.1
2020,1,10,6,29.57,12.05,47.62,101.4,5.48
2020,1,10,7,204.7,14.15,42.94,101.47,6.68
2020,1,10,8,398.11,16.37,37.56,101.51,7.34
2020,1,10,9,575.27,18.55,33.25,101.53,7.88
2020,1,10,10,653.78,20.04,30.12,101.46,7.81
2020,1,10,11,722.27,21.03,28.06,101.31,7.54
2020,1,10,12,678.12,21.55,26.94,101.16,7.25
2020,1,10,13,605.32,21.9,26,101.08,6.9
2020,1,10,14,456.14,21.97,25.38,101.08,6.17
2020,1,10,15,231.45,21.55,26.25,101.11,5.43
2020,1,10,16,43.9,19.54,32.81,101.16,4.42
2020,1,10,17,0,18.14,36.81,101.22,4.73
2020,1,10,18,0,17.77,37.75,101.29,5.3
2020,1,10,19,0,17.47,38.25,101.29,6.07
2020,1,10,20,0,16.71,40.38,101.28,6.17
2020,1,10,21,0,16.09,42.5,101.25,6.31
2020,1,10,22,0,15.55,44.56,101.21,6.44
2020,1,10,23,0,15.18,46.38,101.19,6.2
2020,1,11,0,0,14.9,47.81,101.18,6.17
2020,1,11,1,0,14.43,49.69,101.16,6.28
2020,1,11,2,0,14.08,50.81,101.1,6.7
2020,1,11,3,0,13.78,51.94,101.07,6.9
2020,1,11,4,0,13.56,52.94,101.12,6.85
2020,1,11,5,0,13.4,53.5,101.2,6.97
2020,1,11,6,23.49,13.38,53.31,101.25,7.28
2020,1,11,7,181.29,14.59,48.88,101.26,7.68
2020,1,11,8,372.62,16.86,40.88,101.3,8.12
2020,1,11,9,536.73,19.19,33.25,101.31,8.46
2020,1,11,10,639.98,20.78,29.56,101.21,8.13
2020,1,11,11,661.87,21.96,27.44,101.03,7.6
2020,1,11,12,641.52,22.88,25.94,100.87,6.75
2020,1,11,13,552.13,23.41,25.12,100.79,5.57
2020,1,11,14,404.35,23.51,25.25,100.78,4.53
2020,1,11,15,224.02,23.07,26.69,100.78,3.72
2020,1,11,16,46.59,20.63,33.94,100.82,3.15
2020,1,11,17,0,19.19,35.81,100.89,4
2020,1,11,18,0,18.6,37.38,100.97,5
2020,1,11,19,0,17.9,39.38,101.04,6.11
2020,1,11,20,0,17.1,41.69,101.07,6.79
2020,1,11,21,0,16.34,43.94,101.07,7
2020,1,11,22,0,15.68,46.19,101.04,7.15
2020,1,11,23,0,15.1,48.69,100.97,7.31
2020,1,12,0,0,14.6,51.56,100.91,7.42
2020,1,12,1,0,14.19,54.5,100.85,7.44
2020,1,12,2,0,13.85,57.62,100.82,7.49
2020,1,12,3,0,13.48,61.12,100.8,7.52
2020,1,12,4,0,13.13,64.5,100.81,7.52
2020,1,12,5,0,12.84,67.5,100.87,7.48
2020,1,12,6,22.22,12.76,69.5,100.96,7.52
2020,1,12,7,155.23,13.87,64.62,101.03,7.63
2020,1,12,8,312.52,16.1,53.44,101.07,7.66
2020,1,12,9,460.23,18.08,45,101.04,7.88
2020,1,12,10,581.1,20,38.56,100.91,7.84
2020,1,12,11,524.53,21.73,35.5,100.72,7.88
2020,1,12,12,423.8,22.73,37.56,100.52,8.03
2020,1,12,13,232.38,23.01,43.88,100.38,7.95
2020,1,12,14,156.09,22.73,53.75,100.31,7.62
2020,1,12,15,87.34,22,66,100.29,7.04
2020,1,12,16,38.73,20.94,79.12,100.32,5.71
2020,1,12,17,0,20.13,87.38,100.4,4.93
2020,1,12,18,0,19.23,88,100.53,6.41
2020,1,12,19,0,17.94,86.88,100.66,8.85
2020,1,12,20,0,16.78,84.12,100.76,9.29
2020,1,12,21,0,16.01,83.19,100.8,8.13
2020,1,12,22,0,15.43,82.81,100.77,6.46
2020,1,12,23,0,14.84,82.25,100.71,5.28
2020,1,13,0,0,14.23,81.19,100.68,4.4
2020,1,13,1,0,13.32,81.44,100.65,3.52
2020,1,13,2,0,12.56,81,100.66,3.32
2020,1,13,3,0,11.98,80.31,100.68,3.24
2020,1,13,4,0,11.49,80.31,100.72,3.12
2020,1,13,5,0,11.03,81.12,100.82,2.85
2020,1,13,6,24.54,11.04,79.88,100.93,2.56
2020,1,13,7,201.55,12.23,72.69,101.02,2.29
2020,1,13,8,412.6,14.14,63.81,101.07,2.06
2020,1,13,9,590,16.79,53.94,101.06,3.29
2020,1,13,10,702.24,18.4,46.69,100.98,3.92
2020,1,13,11,731.9,19.65,40.62,100.86,4.43
2020,1,13,12,711.89,20.47,36.12,100.7,5.02
2020,1,13,13,621.52,20.76,33.31,100.62,5.67
2020,1,13,14,468.84,20.57,32.06,100.59,6.08
2020,1,13,15,270.91,19.96,32.06,100.59,6.11
2020,1,13,16,61.55,18.19,36.94,100.63,4.96
2020,1,13,17,0,16.49,42.56,100.7,4.59
2020,1,13,18,0,16.1,43.44,100.77,4.5
2020,1,13,19,0,15.8,44.06,100.82,4.49
2020,1,13,20,0,15.44,45.19,100.83,4.67
2020,1,13,21,0,14.81,46.69,100.85,5.15
2020,1,13,22,0,13.88,48.69,100.85,5.57
2020,1,13,23,0,12.76,50.62,100.85,5.57
2020,1,14,0,0,11.81,51.81,100.85,5.24
2020,1,14,1,0,11.14,51.88,100.82,4.71
2020,1,14,2,0,10.67,51.75,100.79,4.08
2020,1,14,3,0,10.37,51.31,100.77,3.51
2020,1,14,4,0,10.21,50.69,100.78,3.01
2020,1,14,5,0,10.07,50.25,100.84,2.6
2020,1,14,6,27.89,10.23,49.75,100.92,2.25
2020,1,14,7,210.39,12.38,43.56,101,1.99
2020,1,14,8,424.71,14.43,35.25,101.07,1.27
2020,1,14,9,599.28,16.76,29.69,101.08,0.3
2020,1,14,10,708.81,17.92,29.06,101.02,0.99
2020,1,14,11,758.76,18.74,28.81,100.92,1.56
2020,1,14,12,733.96,19.33,28.5,100.81,2.03
2020,1,14,13,640.7,19.71,27.81,100.74,2.2
2020,1,14,14,484.39,19.82,27.06,100.73,2.06
2020,1,14,15,281.52,19.54,27,100.75,1.73
2020,1,14,16,66.05,18.24,32,100.78,1.29
2020,1,14,17,0,17.38,32.44,100.84,0.95
2020,1,14,18,0,16.95,32.31,100.93,0.74
2020,1,14,19,0,16.26,34.12,100.99,1.35
2020,1,14,20,0,15.35,37.5,101.02,2.05
2020,1,14,21,0,14.44,42.31,101.03,2.64
2020,1,14,22,0,13.68,47.62,101.02,3.16
2020,1,14,23,0,13.08,52.19,100.99,3.56
2020,1,15,0,0,12.62,55.06,100.96,3.78
2020,1,15,1,0,12.23,56.44,100.93,4.05
2020,1,15,2,0,11.92,56.75,100.91,4.32
2020,1,15,3,0,11.57,56.75,100.92,4.47
2020,1,15,4,0,11.21,56.88,100.96,4.58
2020,1,15,5,0,10.85,57.25,101.04,4.59
2020,1,15,6,26.8,10.95,56.62,101.15,4.63
2020,1,15,7,204.15,12.81,50.38,101.26,5.03
2020,1,15,8,413.03,15.23,40.62,101.34,4.65
2020,1,15,9,587,17.39,33,101.36,4.09
2020,1,15,10,696.23,18.7,28.75,101.31,3.47
2020,1,15,11,727.84,19.61,25.69,101.19,2.95
2020,1,15,12,704.85,20.19,23.62,101.06,2.4
2020,1,15,13,608.02,20.51,23.19,100.96,2.04
2020,1,15,14,435.98,20.53,24.44,100.94,2.32
2020,1,15,15,250.16,20.08,26.38,100.96,2.55
2020,1,15,16,51.41,18.26,34.44,100.99,2.21
2020,1,15,17,0,17.15,37.88,101.07,2.46
2020,1,15,18,0,16.61,40.88,101.15,2.53
2020,1,15,19,0,16.15,43.88,101.2,2.57
2020,1,15,20,0,15.76,46.56,101.21,2.79
2020,1,15,21,0,15.37,49.31,101.2,2.96
2020,1,15,22,0,14.8,51.19,101.17,2.74
2020,1,15,23,0,13.84,54,101.14,2.42
2020,1,16,0,0,12.74,57.69,101.11,2.63
2020,1,16,1,0,11.99,61,101.09,3.11
2020,1,16,2,0,11.47,64.44,101.08,3.6
2020,1,16,3,0,11.06,67.69,101.09,3.99
2020,1,16,4,0,10.74,70.25,101.12,4.28
2020,1,16,5,0,10.48,71.56,101.18,4.41
2020,1,16,6,26.22,10.73,69.62,101.27,4.35
2020,1,16,7,201.1,12.99,58.62,101.35,4.85
2020,1,16,8,415.98,15.44,45.88,101.39,4.45
2020,1,16,9,592.29,17.33,37.5,101.4,3.42
2020,1,16,10,706.94,18.69,31.81,101.35,2.29
2020,1,16,11,740.51,19.73,27.31,101.24,1.36
2020,1,16,12,717.89,20.44,25,101.1,0.93
2020,1,16,13,626.29,20.82,25.19,101.02,1.6
2020,1,16,14,471.68,20.79,26.56,100.99,2.23
2020,1,16,15,273.06,20.3,28.38,101.01,2.52
2020,1,16,16,64.1,18.3,36.62,101.02,2.38
2020,1,16,17,0,16.8,41.38,101.07,2.55
2020,1,16,18,0,16.29,44.19,101.13,2.5
2020,1,16,19,0,15.95,46.69,101.17,2.42
2020,1,16,20,0,15.71,48.88,101.2,2.35
2020,1,16,21,0,15.51,51,101.2,2.33
2020,1,16,22,0,15.33,52.81,101.19,2.36
2020,1,16,23,0,15.2,53.88,101.16,2.27
2020,1,17,0,0,15.06,55,101.13,2.2
2020,1,17,1,0,14.88,56,101.09,2.21
2020,1,17,2,0,14.73,56.69,101.06,2.15
2020,1,17,3,0,14.48,57.88,101.05,2.14
2020,1,17,4,0,14.29,58.69,101.1,1.91
2020,1,17,5,0,14.01,59.69,101.16,1.62
2020,1,17,6,25.25,13.88,60.5,101.24,1.46
2020,1,17,7,192.85,15.12,56.31,101.3,1.17
2020,1,17,8,405.22,17.28,45.19,101.36,0.33
2020,1,17,9,580.88,18.99,38.5,101.37,0.91
2020,1,17,10,690.75,19.98,35.12,101.31,1.37
2020,1,17,11,746.32,20.74,33.12,101.2,1.92
2020,1,17,12,724.49,21.21,32.5,101.08,2.48
2020,1,17,13,634.28,21.27,32.75,100.98,2.8
2020,1,17,14,480.08,21.01,33.44,100.91,2.93
2020,1,17,15,280.46,20.37,35.12,100.91,2.94
2020,1,17,16,68.32,18.37,42.62,100.94,2.5
2020,1,17,17,0,16.51,49.12,101,2.77
2020,1,17,18,0,16,51.38,101.09,2.77
2020,1,17,19,0,15.69,51.88,101.13,2.88
2020,1,17,20,0,15.61,51.19,101.14,2.93
2020,1,17,21,0,15.72,49.38,101.13,2.69
2020,1,17,22,0,15.92,46.75,101.09,2.2
2020,1,17,23,0,15.94,44.88,101.02,1.75
2020,1,18,0,0,15.47,45.44,100.98,1.76
2020,1,18,1,0,14.69,48.06,100.98,2.06
2020,1,18,2,0,13.55,53.25,100.97,2.73
2020,1,18,3,0,12.53,58.38,101,3.51
2020,1,18,4,0,12,59.44,101.05,4.03
2020,1,18,5,0,11.62,58.38,101.14,4.29
2020,1,18,6,26.1,11.82,55.38,101.23,4.38
2020,1,18,7,197.3,14.16,46.06,101.31,4.99
2020,1,18,8,408.1,16.44,37.12,101.37,4.69
2020,1,18,9,582.79,19.21,29.56,101.4,4.6
2020,1,18,10,694.75,20.88,25.31,101.33,4.14
2020,1,18,11,748.78,21.85,22.5,101.24,3.51
2020,1,18,12,723.22,22.49,20.19,101.13,2.7
2020,1,18,13,668.22,22.81,19.12,101.06,2.07
2020,1,18,14,507.12,22.78,18.94,101.02,1.66
2020,1,18,15,304.28,22.34,19.19,101.02,1.4
2020,1,18,16,64.96,20.31,24.12,101.04,0.99
2020,1,18,17,0,18.86,24.69,101.1,1.42
2020,1,18,18,0,17.9,26.69,101.19,2
2020,1,18,19,0,17.12,28.81,101.25,2.63
2020,1,18,20,0,16.34,31.5,101.29,3.2
2020,1,18,21,0,15.58,33.94,101.31,3.59
2020,1,18,22,0,14.9,36,101.3,3.85
2020,1,18,23,0,14.31,37.75,101.27,4.02
2020,1,19,0,0,13.81,39.06,101.24,4.14
2020,1,19,1,0,13.4,39.88,101.2,4.16
2020,1,19,2,0,13.08,40.56,101.19,4.18
2020,1,19,3,0,12.85,40.88,101.2,4.16
2020,1,19,4,0,12.67,41.12,101.25,4.09
2020,1,19,5,0,12.51,41.5,101.33,4.09
2020,1,19,6,24.71,12.77,41.5,101.42,4.14
2020,1,19,7,185.69,15.27,36.12,101.48,4.9
2020,1,19,8,390.51,17.48,29.88,101.53,5.01
2020,1,19,9,575.5,20.08,24,101.55,5.38
2020,1,19,10,678.7,21.45,21.19,101.47,5.23
2020,1,19,11,749.36,22.4,19.25,101.36,4.82
2020,1,19,12,721.77,23.07,18.06,101.24,4.14
2020,1,19,13,628.34,23.34,17.69,101.15,3.36
2020,1,19,14,460.77,23.25,17.44,101.11,2.6
2020,1,19,15,272.16,22.76,17.81,101.11,1.92
2020,1,19,16,66.89,20.77,22.31,101.14,1.21
2020,1,19,17,0,19.57,22.56,101.21,1.45
2020,1,19,18,0,18.83,24,101.27,1.77
2020,1,19,19,0,18.15,25.44,101.3,2.02
2020,1,19,20,0,17.58,27,101.32,2.25
2020,1,19,21,0,16.99,28.38,101.3,2.53
2020,1,19,22,0,16.38,30.31,101.26,2.85
2020,1,19,23,0,15.83,32.06,101.22,3.06
2020,1,20,0,0,15.32,33.75,101.19,3.21
2020,1,20,1,0,14.82,35.38,101.15,3.27
2020,1,20,2,0,14.35,36.75,101.11,3.24
2020,1,20,3,0,13.91,38.25,101.11,3.26
2020,1,20,4,0,13.57,39.69,101.13,3.32
2020,1,20,5,0,13.3,40.75,101.18,3.31
2020,1,20,6,23.97,13.48,40.81,101.25,3.21
2020,1,20,7,184.05,15.85,36.19,101.31,3.28
2020,1,20,8,400.09,18,29.88,101.35,2.71
2020,1,20,9,571.07,20.3,24.44,101.36,1.9
2020,1,20,10,685.45,21.43,21.19,101.29,1.19
2020,1,20,11,714.88,22.23,19.81,101.18,0.29
2020,1,20,12,709.77,22.77,20.31,101.05,1.04
2020,1,20,13,625.94,22.95,22.56,100.95,2.05
2020,1,20,14,476.76,22.76,24.81,100.91,2.85
2020,1,20,15,265.63,22.08,27.38,100.9,3.37
2020,1,20,16,63.41,19.71,34.75,100.94,3.24
2020,1,20,17,0,17.78,42.69,100.99,3.64
2020,1,20,18,0,17.21,49.31,101.06,3.68
2020,1,20,19,0,16.79,55.75,101.1,3.68
2020,1,20,20,0,16.46,61.12,101.11,3.64
2020,1,20,21,0,16.26,64.69,101.09,3.51
2020,1,20,22,0,16.27,66.94,101.04,3.43
2020,1,20,23,0,16.24,69.12,100.99,3.42
2020,1,21,0,0,16.15,71.81,100.96,3.45
2020,1,21,1,0,16.01,74.88,100.92,3.49
2020,1,21,2,0,15.98,77.62,100.9,3.56
2020,1,21,3,0,15.89,80.38,100.88,3.46
2020,1,21,4,0,15.89,81.88,100.9,3.1
2020,1,21,5,0,15.96,82.06,100.97,2.6
2020,1,21,6,25.15,16.12,81.12,101.06,2.2
2020,1,21,7,190.51,17.61,73.56,101.13,2.2
2020,1,21,8,391.2,19.39,65.38,101.17,1.87
2020,1,21,9,561.23,21.21,57.31,101.19,1.48
